"t0","t1","t1_normalized","tweets_count","indicator"
2018-10-02 14:00:00, 2018-10-02 14:59:59, 2018-10-02 15:00:00, 8571, 0.152
2018-10-02 15:00:00, 2018-10-02 15:59:59, 2018-10-02 16:00:00, 8460, 0.168
2018-10-02 16:00:00, 2018-10-02 16:59:58, 2018-10-02 17:00:00, 7930, 0.170
2018-10-02 17:00:00, 2018-10-02 17:59:59, 2018-10-02 18:00:00, 7655, 0.146
2018-10-02 18:00:00, 2018-10-02 18:59:58, 2018-10-02 19:00:00, 7036, 0.142
2018-10-02 19:00:00, 2018-10-02 19:59:59, 2018-10-02 20:00:00, 6325, 0.166
2018-10-02 20:00:00, 2018-10-02 20:59:58, 2018-10-02 21:00:00, 6969, 0.189
2018-10-02 21:00:00, 2018-10-02 21:59:59, 2018-10-02 22:00:00, 5969, 0.156
2018-10-02 22:00:00, 2018-10-02 22:59:59, 2018-10-02 23:00:00, 5181, 0.124
2018-10-02 23:00:00, 2018-10-02 23:59:59, 2018-10-03 00:00:00, 5029, 0.129
2018-10-03 00:00:00, 2018-10-03 00:59:59, 2018-10-03 01:00:00, 5369, 0.166
2018-10-03 01:00:00, 2018-10-03 01:59:59, 2018-10-03 02:00:00, 5294, 0.168
2018-10-03 02:00:00, 2018-10-03 02:59:59, 2018-10-03 03:00:00, 3664, 0.153
2018-10-03 03:00:00, 2018-10-03 03:59:59, 2018-10-03 04:00:00, 5875, 0.142
2018-10-03 04:00:00, 2018-10-03 04:59:59, 2018-10-03 05:00:00, 6237, 0.164
2018-10-03 05:00:00, 2018-10-03 05:59:59, 2018-10-03 06:00:00, 6227, 0.177
2018-10-03 06:00:00, 2018-10-03 06:59:59, 2018-10-03 07:00:00, 6846, 0.179
2018-10-03 07:00:00, 2018-10-03 07:59:59, 2018-10-03 08:00:00, 7715, 0.159
2018-10-03 08:00:00, 2018-10-03 08:59:59, 2018-10-03 09:00:00, 6934, 0.177
2018-10-03 09:00:00, 2018-10-03 09:59:59, 2018-10-03 10:00:00, 7183, 0.177
2018-10-03 10:00:00, 2018-10-03 10:59:59, 2018-10-03 11:00:00, 7659, 0.193
2018-10-03 11:00:00, 2018-10-03 11:59:59, 2018-10-03 12:00:00, 8783, 0.162
2018-10-03 12:00:00, 2018-10-03 12:59:59, 2018-10-03 13:00:00, 9106, 0.174
2018-10-03 13:00:00, 2018-10-03 13:59:59, 2018-10-03 14:00:00, 9521, 0.154
2018-10-03 14:00:00, 2018-10-03 14:59:59, 2018-10-03 15:00:00, 9925, 0.149
2018-10-03 15:00:00, 2018-10-03 15:28:41, 2018-10-03 16:00:00, 4325, 0.148
2018-10-03 16:00:00, 2018-10-03 16:59:59, 2018-10-03 17:00:00, 8734, 0.164
