t0,t1,close_price_up,close_price_variation,prive_variation,volumeFrom,pos
2018-10-02 11:44:20, 2018-10-02 11:44:59, true, 0.0014, 0.0031, -0.1970, true
2018-10-02 11:45:00, 2018-10-02 11:45:59, true, 0.0301, 0.0417, 0.1484, true
2018-10-02 11:46:00, 2018-10-02 11:46:59, true, 0.0011, 0.0397, -0.2953, true
2018-10-02 11:47:00, 2018-10-02 11:47:59, false, -0.0003, 0.0041, -0.0464, true
2018-10-02 11:48:00, 2018-10-02 11:48:59, true, 0.0032, 0.0078, 1.1627, true
2018-10-02 11:49:00, 2018-10-02 11:49:59, false, -0.0225, 0.0293, -1.0659, true
2018-10-02 11:50:00, 2018-10-02 11:50:59, true, 0.0027, 0.0057, -0.1462, true
2018-10-02 11:51:00, 2018-10-02 11:51:59, false, -0.0504, 0.0047, 0.2429, true
2018-10-02 11:52:00, 2018-10-02 11:52:59, false, -0.0382, 0.0011, 0.2629, true
2018-10-02 11:53:02, 2018-10-02 11:53:59, true, 0.0228, 0.0475, -0.1213, true
2018-10-02 11:54:00, 2018-10-02 11:54:59, true, 0.0414, 0.0715, -0.1361, true
2018-10-02 11:55:00, 2018-10-02 11:55:59, false, -0.0243, 0.0437, -0.0521, true
2018-10-02 11:56:00, 2018-10-02 11:56:58, false, -0.0090, 0.0069, -0.1513, true
2018-10-02 11:57:01, 2018-10-02 11:57:59, false, -0.0133, 0.0041, 0.1527, true
2018-10-02 11:58:00, 2018-10-02 11:58:59, true, 0.0023, 0.0156, 0.2878, true
2018-10-02 11:59:00, 2018-10-02 11:59:59, false, -0.1022, 0.0133, 3.3485, true
2018-10-02 12:00:00, 2018-10-02 12:00:59, true, 0.0041, 0.0073, -2.2567, true
2018-10-02 12:01:00, 2018-10-02 12:01:59, true, 0.0378, 0.0696, -0.9779, true
2018-10-02 12:02:00, 2018-10-02 12:02:59, false, -0.0008, 0.0612, -0.0313, true
2018-10-02 12:03:00, 2018-10-02 12:03:59, false, -0.0283, 0.0083, -0.1213, true
2018-10-02 12:04:00, 2018-10-02 12:04:59, false, -0.0151, 0.0086, -0.2829, true
2018-10-02 12:05:01, 2018-10-02 12:05:59, false, -0.0038, 0.0046, 0.5050, true
2018-10-02 12:06:01, 2018-10-02 12:06:59, false, -0.0361, 0.0211, -0.3636, true
2018-10-02 12:07:00, 2018-10-02 12:07:59, true, 0.0248, 0.0249, 0.0854, true
2018-10-02 12:08:00, 2018-10-02 12:08:59, true, 0.0103, 0.0381, -0.1475, true
2018-10-02 12:09:00, 2018-10-02 12:09:59, false, -0.0018, 0.0237, -0.0620, true
2018-10-02 12:10:01, 2018-10-02 12:10:59, true, 0.0499, 0.0559, 0.6349, true
2018-10-02 12:11:02, 2018-10-02 12:11:59, true, 0.0102, 0.0895, -0.4576, true
2018-10-02 12:12:01, 2018-10-02 12:12:59, false, -0.0067, 0.0127, -0.1147, true
2018-10-02 12:13:00, 2018-10-02 12:13:59, true, 0.0102, 0.0153, 0.0245, true
2018-10-02 12:14:00, 2018-10-02 12:14:59, false, -0.0306, 0.0102, -0.0609, true
2018-10-02 12:15:00, 2018-10-02 12:15:58, true, 0.0122, 0.0174, 0.2227, true
2018-10-02 12:16:01, 2018-10-02 12:16:58, true, 0.0404, 0.0532, 0.8209, true
2018-10-02 12:17:00, 2018-10-02 12:17:58, true, 0.0396, 0.0998, -0.9261, true
2018-10-02 12:18:00, 2018-10-02 12:18:59, true, 0.0461, 0.0920, -0.1637, true
2018-10-02 12:19:00, 2018-10-02 12:19:58, true, 0.0194, 0.0672, -0.0730, true
2018-10-02 12:20:00, 2018-10-02 12:20:58, false, -0.0057, 0.0286, -0.0200, true
2018-10-02 12:21:01, 2018-10-02 12:21:59, false, -0.0073, 0.0075, 0.3074, true
2018-10-02 12:22:00, 2018-10-02 12:22:59, true, 0.0192, 0.0194, -0.2733, true
2018-10-02 12:23:00, 2018-10-02 12:23:59, false, -0.0044, 0.0195, -0.0099, true
2018-10-02 12:24:00, 2018-10-02 12:24:59, false, -0.0147, 0.0057, -0.0095, true
2018-10-02 12:25:00, 2018-10-02 12:25:59, true, 0.0009, 0.0092, 0.0020, false
2018-10-02 12:26:00, 2018-10-02 12:26:59, true, 0.0003, 0.0101, 0.0341, true
2018-10-02 12:27:00, 2018-10-02 12:27:59, true, 0.0179, 0.0246, 0.0087, true
2018-10-02 12:28:00, 2018-10-02 12:28:59, true, 0.0192, 0.0395, -0.0945, true
2018-10-02 12:29:00, 2018-10-02 12:29:58, false, -0.0111, 0.0377, 0.4860, true
2018-10-02 12:30:00, 2018-10-02 12:30:59, true, 0.0119, 0.0154, -0.4488, true
2018-10-02 12:31:00, 2018-10-02 12:31:59, true, 0.0096, 0.0389, 1.1991, true
2018-10-02 12:32:00, 2018-10-02 12:32:59, true, 0.0189, 0.0296, -1.0789, true
2018-10-02 12:33:00, 2018-10-02 12:33:59, true, 0.0203, 0.0444, -0.0668, true
2018-10-02 12:34:00, 2018-10-02 12:34:59, true, 0.0389, 0.0671, 0.3180, true
2018-10-02 12:35:00, 2018-10-02 12:35:59, false, -0.0067, 0.0455, -0.2938, true
2018-10-02 12:36:00, 2018-10-02 12:36:59, false, -0.0012, 0.0136, 0.1913, true
2018-10-02 12:37:00, 2018-10-02 12:37:58, true, 0.0235, 0.0256, 0.3279, true
2018-10-02 12:38:00, 2018-10-02 12:38:59, false, -0.0153, 0.0253, -0.3496, true
2018-10-02 12:39:00, 2018-10-02 12:39:59, false, -0.0206, 0.0069, 0.0958, true
2018-10-02 12:40:00, 2018-10-02 12:40:59, true, 0.0061, 0.0166, -0.0932, true
2018-10-02 12:41:00, 2018-10-02 12:41:58, false, -0.0171, 0.0162, -0.2273, true
2018-10-02 12:42:00, 2018-10-02 12:42:59, false, -0.0350, 0.0067, -0.0324, true
2018-10-02 12:43:00, 2018-10-02 12:43:58, true, 0.0018, 0.0095, 0.0383, true
2018-10-02 12:44:00, 2018-10-02 12:44:59, true, 0.0015, 0.0133, 0.1551, true
2018-10-02 12:45:00, 2018-10-02 12:45:59, false, -0.0383, 0.0337, -0.2386, true
2018-10-02 12:46:00, 2018-10-02 12:46:59, true, 0.0046, 0.0055, 0.0835, true
2018-10-02 12:47:00, 2018-10-02 12:47:59, true, 0.0072, 0.0131, -0.0070, true
2018-10-02 12:48:00, 2018-10-02 12:48:59, true, 0.0101, 0.0195, 0.3325, true
2018-10-02 12:49:00, 2018-10-02 12:49:59, false, -0.0142, 0.0166, 0.4224, true
2018-10-02 12:50:00, 2018-10-02 12:50:59, true, 0.0822, 0.0835, -0.7063, true
2018-10-02 12:51:00, 2018-10-02 12:51:59, false, -0.0044, 0.0847, 0.3223, true
2018-10-02 12:52:00, 2018-10-02 12:52:59, false, -0.0018, 0.0110, -0.3018, true
2018-10-02 12:53:00, 2018-10-02 12:53:59, false, -0.0212, 0.0008, 0.4746, true
2018-10-02 12:54:00, 2018-10-02 12:54:58, true, 0.0049, 0.0223, -0.3537, true
2018-10-02 12:55:00, 2018-10-02 12:55:59, true, 0.0273, 0.0328, 0.3634, true
2018-10-02 12:56:00, 2018-10-02 12:56:59, true, 0.0110, 0.0503, -0.4024, true
