t0,t1,close_price_uṕ,close_price_variation,price_variation,volumefrom,pos
2018-10-01 08:00:59, 2018-10-01 08:01:59, false, -0.2123, 0.0070, 8.3733, true
2018-10-01 08:01:59, 2018-10-01 08:02:59, false, -0.0469, 0.0273, -3.2584, true
2018-10-01 08:02:59, 2018-10-01 08:03:59, false, -0.0250, 0.0017, -3.3856, true
2018-10-01 08:03:59, 2018-10-01 08:04:59, true, 0.1002, 0.1135, 7.3258, true
2018-10-01 08:04:59, 2018-10-01 08:05:59, false, -0.0618, 0.1143, -5.7405, true
2018-10-01 08:05:58, 2018-10-01 08:06:58, true, 0.1485, 0.1999, 0.3172, true
2018-10-01 08:06:59, 2018-10-01 08:07:59, false, -0.0252, 0.1516, -3.1775, true
2018-10-01 08:07:59, 2018-10-01 08:08:59, true, 0.0081, 0.0376, 0.9144, true
2018-10-01 08:08:17, 2018-10-01 08:09:17, false, -0.0421, 0.0068, -0.8741, true
2018-10-01 07:09:59, 2018-10-01 07:10:59, true, 0.0068, 0.0174, -0.0932, true
2018-10-01 07:10:59, 2018-10-01 07:11:59, true, 0.0009, 0.0141, 0.7766, true
2018-10-01 07:11:59, 2018-10-01 07:12:59, false, -0.0014, 0.0153, -0.7855, true
2018-10-01 07:12:59, 2018-10-01 07:13:59, false, -0.0089, 0.0042, 0.1410, true
2018-10-01 07:13:59, 2018-10-01 07:14:59, true, 0.0045, 0.0091, -0.1368, true
2018-10-01 07:14:59, 2018-10-01 07:15:59, true, 0.0085, 0.0409, 0.1186, true
2018-10-01 07:15:59, 2018-10-01 07:16:59, true, 0.0076, 0.0165, 0.0142, true
2018-10-01 07:16:58, 2018-10-01 07:17:58, false, -0.0041, 0.0186, -0.0672, true
2018-10-01 07:17:59, 2018-10-01 07:18:59, false, -0.0086, 0.0085, -0.0490, true
2018-10-01 07:18:59, 2018-10-01 07:19:59, false, -0.0011, 0.0067, 0.0943, true
2018-10-01 07:19:59, 2018-10-01 07:20:59, true, 0.0047, 0.0073, -0.0259, true
2018-10-01 07:20:57, 2018-10-01 07:21:57, true, 0.0174, 0.0225, -0.0121, true
2018-10-01 07:21:59, 2018-10-01 07:22:59, true, 0.0367, 0.0664, 0.2534, true
2018-10-01 07:22:59, 2018-10-01 07:23:59, true, 0.0159, 0.0668, -0.3012, true
2018-10-01 07:23:58, 2018-10-01 07:24:58, true, 0.0030, 0.0189, 0.0463, true
2018-10-01 07:24:59, 2018-10-01 07:25:59, true, 0.0659, 0.0695, 0.0258, true
2018-10-01 07:25:59, 2018-10-01 07:26:59, false, -0.0224, 0.0685, 0.1047, true
2018-10-01 07:26:59, 2018-10-01 07:27:59, false, -0.0056, 0.0163, -0.1717, true
2018-10-01 07:27:59, 2018-10-01 07:28:59, false, -0.0038, 0.0077, 0.0852, true
2018-10-01 07:28:59, 2018-10-01 07:29:59, false, -0.0094, 0.0051, -0.0795, true
2018-10-01 07:29:59, 2018-10-01 07:30:59, true, 0.0127, 0.0128, 0.0109, true
2018-10-01 07:30:59, 2018-10-01 07:31:59, false, -0.0005, 0.0206, 0.0343, true
2018-10-01 07:31:59, 2018-10-01 07:32:59, false, -0.0145, 0.0011, -0.0567, true
2018-10-01 07:32:59, 2018-10-01 07:33:59, false, -0.0089, 0.0079, 0.2219, true
2018-10-01 07:33:59, 2018-10-01 07:34:59, false, -0.0012, 0.0006, -0.2441, true
2018-10-01 07:34:59, 2018-10-01 07:35:59, true, 0.0023, 0.0042, 0.0470, true
2018-10-01 07:35:58, 2018-10-01 07:36:58, true, 0.0050, 0.0083, 0.0334, true
2018-10-01 07:36:59, 2018-10-01 07:37:59, false, -0.0153, 0.0077, 0.0963, true
2018-10-01 07:37:59, 2018-10-01 07:38:59, true, 0.0275, 0.0308, -0.0809, true
2018-10-01 07:38:59, 2018-10-01 07:39:59, true, 0.0039, 0.0456, -0.0905, true
2018-10-01 07:39:58, 2018-10-01 07:40:58, false, -0.0021, 0.0057, 0.0496, true
2018-10-01 07:40:57, 2018-10-01 07:41:57, false, -0.0062, 0.0082, -0.0369, true
2018-10-01 07:41:59, 2018-10-01 07:42:59, true, 0.0341, 0.0345, 0.1848, true
2018-10-01 07:42:59, 2018-10-01 07:43:59, false, -0.0299, 0.0462, 0.1848, true
2018-10-01 07:43:59, 2018-10-01 07:44:59, false, -0.0038, 0.0026, -0.0100, true
2018-10-01 07:44:59, 2018-10-01 07:45:59, false, -0.0024, 0.0026, -0.3983, true
2018-10-01 07:45:58, 2018-10-01 07:46:58, false, -0.0215, 0.0008, 0.0881, true
2018-10-01 07:46:59, 2018-10-01 07:47:59, true, 0.0266, 0.0274, 0.0122, true
2018-10-01 07:47:59, 2018-10-01 07:48:59, false, -0.0053, 0.0278, 0.0068, true
2018-10-01 07:48:59, 2018-10-01 07:49:59, false, -0.0063, 0.0045, -0.0615, true
2018-10-01 07:49:59, 2018-10-01 07:50:59, true, 0.0118, 0.0142, 0.0299, true
2018-10-01 07:50:59, 2018-10-01 07:51:59, false, -0.0089, 0.0184, -0.0095, true
2018-10-01 07:51:58, 2018-10-01 07:52:58, false, -0.0511, 0.0044, 0.4275, true
2018-10-01 07:52:59, 2018-10-01 07:53:59, false, -0.0168, 0.0027, -0.3150, true
2018-10-01 07:53:59, 2018-10-01 07:54:59, false, -0.0855, 0.0059, 1.3759, true
2018-10-01 07:54:58, 2018-10-01 07:55:58, false, -0.0295, 0.0020, 0.5672, true
2018-10-01 07:55:59, 2018-10-01 07:56:59, false, -0.1512, 0.0002, 0.5556, true
2018-10-01 07:56:59, 2018-10-01 07:57:59, false, -0.0404, 0.0730, -2.0694, true
2018-10-01 07:57:58, 2018-10-01 07:58:58, false, -0.0584, 0.0029, 0.4003, true
2018-10-01 07:58:59, 2018-10-01 07:59:59, false, -0.0093, 0.0044, 1.1709, true
2018-10-01 07:59:59, 2018-10-01 08:00:59, false, -0.0178, 0.0960, -1.1487, true
2018-10-01 14:00:59, 2018-10-01 14:01:59, false, -0.0030, 0.0524, -1.1272, true
2018-10-01 14:01:59, 2018-10-01 14:02:59, true, 0.0012, 0.0384, -0.1391, true
2018-10-01 14:02:59, 2018-10-01 14:03:59, true, 0.0005, 0.0102, -0.0873, true
2018-10-01 14:03:59, 2018-10-01 14:04:59, true, 0.0014, 0.0041, 0.0314, true
2018-10-01 14:04:59, 2018-10-01 14:05:59, false, -0.0205, 0.0232, 0.2353, true
2018-10-01 14:05:59, 2018-10-01 14:06:59, false, -0.0225, 0.0141, -0.2797, true
2018-10-01 14:06:59, 2018-10-01 14:07:59, false, -0.0149, 0.0017, 0.0547, true
2018-10-01 14:07:59, 2018-10-01 14:08:59, true, 0.0240, 0.0451, 0.1709, true
2018-10-01 14:08:59, 2018-10-01 14:09:59, false, -0.0391, 0.0497, -0.1635, true
2018-10-01 14:09:59, 2018-10-01 14:10:59, false, -0.0084, 0.0377, -0.1183, true
2018-10-01 14:10:03, 2018-10-01 14:11:03, false, -0.0452, 0.0108, 0.1293, true
