@relation 'all-weka.filters.unsupervised.attribute.Remove-R1-2,4,7'

@attribute close_price_up {' true',' false'}
@attribute prive_variation numeric
@attribute volumeFrom numeric

@data
' false',0.0003,-0.3704
' false',0.0003,0.1663
' true',0.012,-0.0462
' true',0.0251,0.3069
' true',0.0243,-0.2225
' false',0.0024,0.0135
' false',0.0036,-0.1042
' true',0.0147,-0.0926
' false',0.0106,0.1066
' true',0.0208,0.17
' true',0.0234,-0.2358
' true',0.0325,0.1738
' false',0.0241,0.0624
' false',0.0225,-0.0196
' true',0.002,-0.2359
' false',0.0091,0.1249
' true',0.0307,0.1365
' true',0.0372,0.205
' false',0.0384,-0.1944
' false',0.0062,-0.2615
' false',0.0023,-0.0155
' false',0.0176,0.1236
' true',0.0213,-0.1026
' false',0.0065,-0.0885
' true',0.0077,0.0167
' false',0.0049,0.0713
' false',0.0024,0.1258
' true',0.0146,0.0008
' false',0.0182,-0.0582
' true',0.1029,0.0284
' true',0.1015,-0.048
' false',0.0205,0.2371
' false',0.0055,-0.2675
' false',0.02,0.0305
' true',0.0381,-0.0223
' false',0.0235,0.0068
' true',0.0087,0.0541
' true',0.0351,0.2596
' false',0.0099,-0.3774
' true',0.0261,-0.0328
' false',0.012,0.2726
' true',0.0014,-0.2664
' true',0.0999,-0.002
' true',0.0939,0.3003
' true',0.0185,0.4855
' false',0.0008,0.0894
' false',0.003,0.2628
' false',0.0103,-0.843
' false',0.0006,-0.1284
' false',0,-0.1351
' false',0.0115,0.068
' true',0.0109,-0.072
' false',0.0068,0.6787
' false',0.0111,0.6992
' true',0.0329,-0.9012
' true',0.0329,0.263
' false',0.0088,0.0815
' true',0.0294,0.1237
' true',0.039,0.0441
' false',0.0105,-0.2764
' true',0.0203,0.0344
' true',0.0217,-0.2268
' false',0.0454,-0.3528
' true',0.0353,1.2467
' true',0.056,-1.1359
' true',0.0514,0.4844
' false',0.0311,-0.4893
' true',0.0109,0.3856
' false',0.0018,-0.2533
' true',0.0167,0.4992
' true',0.0397,-0.3555
' true',0.0279,0.0667
' true',0.0482,0.2528
' true',0.045,-0.0859
' false',0.0071,-0.0592
' true',0.0111,0.4328
' true',0.0448,-0.5809
' true',0.0544,2.2399
' true',0.5915,10.3154
' false',0.5508,-7.5104
' true',0.183,4.9325
' false',0.1241,-9.4958
' false',0.0332,0.7417
' true',0.0621,2.0597
' true',0.0644,-3.2021
' false',0.0369,-0.1778
' false',0.0011,-0.1702
' false',0.0017,0.0448
' true',0.0546,0.0267
' true',0.0506,-0.0402
' true',0.0121,-0.0434
' true',0.0099,0.9676
' true',0.0357,0.0707
' false',0.0122,-0.4132
' false',0.0009,2.0261
' false',0.0035,-0.1934
' false',0.0068,-0.8781
' true',0.0053,-0.9611
' true',0.0172,0.0677
' false',0.0163,-0.6222
' false',0.0059,0.5836
' true',0.0211,0.0662
' false',0.0134,-0.3756
' false',0.0071,-0.3212
' false',0.0035,0.4821
' true',0.0035,-0.3315
