t0,t1,t1_normalized,tweets_count,indicator
2018-10-14 15:00:00, 2018-10-14 15:59:53, 2018-10-14 16:00:00, 6972, 0.163
2018-10-14 16:00:00, 2018-10-14 16:59:59, 2018-10-14 17:00:00, 6836, 0.151
2018-10-14 17:00:02, 2018-10-14 17:59:59, 2018-10-14 18:00:02, 6663, 0.162
2018-10-14 18:00:00, 2018-10-14 18:59:59, 2018-10-14 19:00:00, 6830, 0.180
2018-10-14 19:00:00, 2018-10-14 19:59:59, 2018-10-14 20:00:00, 6182, 0.171
2018-10-14 20:00:00, 2018-10-14 20:59:59, 2018-10-14 21:00:00, 6176, 0.156
2018-10-14 21:00:00, 2018-10-14 21:59:50, 2018-10-14 22:00:00, 5436, 0.141
2018-10-14 22:00:00, 2018-10-14 22:59:59, 2018-10-14 23:00:00, 4848, 0.144
2018-10-14 23:00:00, 2018-10-14 23:59:41, 2018-10-15 00:00:00, 5269, 0.192
2018-10-15 00:00:00, 2018-10-15 00:59:39, 2018-10-15 01:00:00, 5017, 0.154
2018-10-15 01:00:00, 2018-10-15 01:59:55, 2018-10-15 02:00:00, 4939, 0.148
2018-10-15 02:00:00, 2018-10-15 02:59:55, 2018-10-15 03:00:00, 5349, 0.169
2018-10-15 03:00:00, 2018-10-15 03:59:59, 2018-10-15 04:00:00, 5674, 0.173
2018-10-15 04:00:00, 2018-10-15 04:59:59, 2018-10-15 05:00:00, 6206, 0.158
2018-10-15 05:00:00, 2018-10-15 05:59:59, 2018-10-15 06:00:00, 6660, 0.171
2018-10-15 06:00:00, 2018-10-15 06:59:59, 2018-10-15 07:00:00, 10708, 0.135
2018-10-15 07:00:00, 2018-10-15 07:59:59, 2018-10-15 08:00:00, 11845, 0.117
2018-10-15 08:00:00, 2018-10-15 08:59:51, 2018-10-15 09:00:00, 9805, 0.138
2018-10-15 09:00:00, 2018-10-15 09:59:59, 2018-10-15 10:00:00, 9409, 0.150
2018-10-15 10:00:00, 2018-10-15 10:59:59, 2018-10-15 11:00:00, 8596, 0.159
2018-10-15 11:00:00, 2018-10-15 11:59:49, 2018-10-15 12:00:00, 9080, 0.157
2018-10-15 12:00:00, 2018-10-15 12:59:59, 2018-10-15 13:00:00, 8787, 0.141
2018-10-15 13:00:00, 2018-10-15 13:59:59, 2018-10-15 14:00:00, 8417, 0.137
2018-10-15 14:00:00, 2018-10-15 14:59:57, 2018-10-15 15:00:00, 8550, 0.146
2018-10-15 15:00:00, 2018-10-15 15:59:57, 2018-10-15 16:00:00, 8428, 0.152
2018-10-15 16:00:00, 2018-10-15 16:59:59, 2018-10-15 17:00:00, 9016, 0.162
2018-10-15 17:00:00, 2018-10-15 17:59:59, 2018-10-15 18:00:00, 9211, 0.137
2018-10-15 18:00:00, 2018-10-15 18:59:43, 2018-10-15 19:00:00, 8114, 0.152
2018-10-15 19:00:00, 2018-10-15 19:59:59, 2018-10-15 20:00:00, 7841, 0.145
